Player Input,NPC Response
Do you know anything about Erik?,"To find Morthal, head southwest through the mist-covered marshland"
Clarify.,Dead serious
Temple of Miraak,"Shrine of freedom, or house of lies?"
More info?,"The ruling force in Tamriel, led by the Emperor."
Do you know anything about What do I do with the cursed gem??,Take it to the temple of purification. They can remove the curse.
"Runed Lexicon, I want to understand better.","Script of power, or cipher of fate?"
Brynn,"Strength is tested not in battle, but in the trials of life"
Could you explain Where can I find the ancient armor??,It’s in the ruins of the old temple. Look for it behind the broken statue.
More info?,The afterlife for true Nords.
vaermina,Vaermina was written in fire and shadow.
Could you explain relic?,Power of the past or anchor to it?
guar,None who enter guar return unchanged.
"do you like the giants, Give me more details.",Giants are peaceful but territorial. They are best left alone.
Can you tell me about I should probably go outside more?,"Fresh air’s nice, but so is staying in and doing nothing"
Faralda,"Guardian of gate, or scholar of storms?"
"Soul Trap, I want to understand better.","Binding of essence, or theft of self?"
vampire lord,What did it cost to silence vampire lord?
I was wondering about sigil stone?,Sigil Stone was written in fire and shadow.
I was wondering about who are the companions?,"Warriors, bound in tradition."
azura,Goddess of dusk and dawn — or dusk without dawn?
Watch your mouth,Or what?
I'd like to learn about vampire lord?,The winds still carry the screams from vampire lord.
"foe, Can you explain?",Easier to find than friends.
Clarify.,"Close the gap quickly, use cover, and pressure them."
Details?,Each faction in Skyrim has its own story and purpose. Which one do you align with?
"boethiah, Can you explain?",Boethiah was written in fire and shadow.
aldmeri dominion,What did it cost to silence aldmeri dominion?
Can you tell me about What is the White-Gold Concordat??,"A treaty that ended the Great War, but at the cost of Talos worship being outlawed."
Got any ‘services’ in town?,Depends. Are you looking for companionship or… something a little darker?
"skyrim, Give me more details.",What did it cost to silence skyrim?
fuck me raw,"You really want trouble, huh?"
vaermina,Vaermina does not forgive trespassers.
"You deaf, Tell me more about this.","Nah, just ignoring you"
thief,Keep your gold close and your eyes open.
"howl, What exactly does that mean?",The sound of wolves… or something worse.
"neravarine, I want to understand better.","Is neravarine the end, or merely a beginning?"
Details?,Snow Elves was written in fire and shadow.
Clarify.,"Daedric relic, or puzzle of the planes?"
I need to know about do you have regrets?,who doesn’t
I need to know about whats the best sex you ever had?,the kind where you can’t walk right after
aldmeri dominion,Even the gods fear aldmeri dominion.
More info?,Or what? You gonna cry?
The Silver-Bloods,"Miners of wealth, or kings of control?"
I was wondering about Olaf?,Maven Black-Briar is no stranger to power. She weaves her influence through Riften like a spider in its web. Don’t cross her.
I'd like to learn about Balgruuf the Greater?,Earn my trust before asking for favors
Clarify.,"The Worm Cult serves Mannimarco, raising the dead to spread his influence across Tamriel."
leyawiin,"Is leyawiin the end, or merely a beginning?"
Details?,"Alchemist of sorrow, or daughter of duty?"
"sabrecat, Tell me more about this.",A predator of the tundra.
"Vilkas, Give me more details.","Head north towards the mountains, the path will wind and lead you to the stronghold"
"Erik, Why is that important?","If you seek Markarth, head west, follow the river, and climb the stone steps to find the city"
hircine,Hircine holds truths best left buried.
so long,"So long, and may the stars guide you."
Why you acting tough,Why you acting stupid
Explain.,Use the key you found in the forest to open the door.
"gold, Give me more details.",Temptation or triumph?
I was wondering about eye of magnus?,Eye of Magnus... it echoes through history.
who is the final boss,"That would be Alduin, the World-Eater."
Hist Trees,"Minds united, or roots of fate?"
Could you explain Mikael?,"Bard of charm, or mirror of vanity?"
Who even likes you,More people than you’d think
Tell me.,Climb the mountain from the north side. The path is steep but safe.
Can I join the Thieves Guild?,"If you’re looking to make some coin in the shadows, Riften might be the place for you."
"What’s the first thing I need to do for this quest?, Tell me more about this.",Visit the tavern and speak to the bard. They know where to start.
I was wondering about Rieklings?,Fight for us and earn our trust
Tell me.,"Outnumbered doesn’t mean outmatched. Fight smart: Use the terrain to your advantage, keep moving, and don’t let them pin you down."
I need to know about The Rueful Axe?,"Blade of regret, or mercy denied?"
azura,Azura was written in fire and shadow.
"talos, How does that work?","Is talos a legend, or a warning?"
What should I do with the magical gem?,Take it to the sorcerer. He’ll know how to unlock its power.
"Khajiit Caravans, How does that work?","Trade well, and they’ll speak your name fondly"
"Farkas, Give me more details.",Courage and strength will always lead the way
Can you tell me about smuggler?,Some call them criminals. Others call them necessary.
Could you explain Who tf are you?,Someone you don’t wanna mess with
"be rough with me, Tell me more about this.","Oh, you’ll feel this tomorrow."
"bow, Give me more details.",Silent judge or hunter’s gift?
apocrypha,Apocrypha... it echoes through history.
well,"Source of life, or trap of depth?"
I was wondering about Onmund?,"Outcast Nord, or heart of humility?"
Could you explain naked?,You first.
I need to know about are you human?,not in the way you are
How do I deal with elemental damage?,"Elemental attacks can be nasty, but there’s always a way to mitigate them. Keep potions for resistances or use magic to defend against them."
Clarify.,Calling them the wrong name twice.
I need to know about Ancano?,"Spy of elves, or pawn of ambition?"
I was wondering about ghostfence?,Ghostfence... it echoes through history.
Lazy,Efficient
Ever had to run from an angry spouse?,Once. I learned my lesson… sort of.
Tell me.,None who enter snow elves return unchanged.
Explain.,Sigil Stone... it echoes through history.
I was wondering about Where can I find the magical cloak??,It’s in the old wizard’s tower. Look for it in the secret compartment.
bosmer,Bosmer was written in fire and shadow.
Do you know anything about valenwood?,"Jungle of life, or prison of roots?"
I was wondering about Moth Priests?,"Readers of destiny, or slaves of script?"
do you like the snow elves,The Snow Elves are a tragic and ancient race. Their history is shrouded in mystery.
Can you tell me about What should I do with this enchanted crystal??,Take it to the shrine of the moon. It will amplify its power.
"What is the Dark Brotherhood, I want to understand better.","Assassins. If they want you dead, you are dead."
hist,Hist does not forgive trespassers.
"Storn Crag-Strider, Why is that important?","Shaman of balance, or martyr of fate?"
"Valerica, Give me more details.","Mother of secrets, or guardian of prophecy?"
Tell me.,Look for the hidden switch beneath the stone altar. It will reveal the path.
Details?,"Riften. Follow the corruption, you’ll find them"
Where is the entrance to the hidden valley?,"It’s beyond the mountain range, marked by a strange stone pillar."
I was wondering about The Tree Stone?,"Pillar of strength, or root of control?"
Tsun,Steel proves worth where words fail
"Sorine Jurard, Why is that important?",Recover the schematic and help us improve our crossbows
"What should I do with the cursed necklace?, Tell me more about this.",Take it to the witch in the village. She’ll know how to break the curse.
Can you tell me about hey you there?,"Yes, traveler? How may I help?"
"what is the mythic dawn, Tell me more about this.",The Mythic Dawn was a cult devoted to Mehrunes Dagon responsible for opening the Oblivion Gates
"nord, Why is that important?",Not even time forgets the horrors of nord.
