Player Input,NPC Response
You ever just stare at the ceiling for no reason,"Yeah, it’s called deep thinking, or zoning out"
Umaril the Unfeathered,"Enemy of gods, or warrior of vengeance?"
Hjaalmarch,"Mist-shrouded land, or cradle of sorrow?"
do you like the mammoths,Mammoths are gentle giants of the tundra. They are often found with the giants.
What’s the best way to fight with magic?,Magic can be a game changer. Focus on using offensive spells when they’re vulnerable and defensive spells when they strike back.
Tell me how to become a vampire,Let a vampire bite you… or just wake up one day regretting your choices
Good night,"Good night, and may your dreams be peaceful."
Aela,"For the College of Winterhold, head northeast, cross the frozen lake and you’ll find the college upon the cliffs"
alduin,"Is alduin the end, or merely a beginning?"
falcon,"Sharp eyes, sharper claws."
hircine,Hircine holds truths best left buried.
Where can I find the lost treasure?,"It’s buried deep in the forest. Look for the ancient oak tree, and dig beneath it."
Freja,"I can’t say I know much about Astrid, but I’d bet my last coin that she’s always playing the long game."
Brynjolf,Maven Black-Briar? She’s always working some angle. You’d do well to steer clear of her schemes.
psijic order,Psijic Order does not forgive trespassers.
Thonar Silver-Blood,"Lord of wealth, or tyrant unseen?"
appreciate it,"Glad to assist, traveler."
rimmen,Rimmen does not forgive trespassers.
boethiah,Boethiah holds truths best left buried.
Why your playlist so sad,Because I like to suffer on purpose
Necromancer,"Master of death, or fool to play with life?"
colovian,Stoic shield or silent judge?
mantle,"A heavy thing, whether cloth or crown."
Good evening,The evening is upon us. How may I help you?
sotha sil,Would you dare speak the name of sotha sil aloud?
where can i find work,where there is need there is coin
can i leave,No one's stopping you.
mephala,Mephala... it echoes through history.
Birka,"The storm cannot be stopped, but it can be survived"
Vera,"You must fight for what you believe in, not for what you fear"
vaermina,Vaermina was written in fire and shadow.
Mehrunes Dagon,"Bringer of change, or harbinger of ruin?"
whats the worst mistake you’ve made while flirting,calling them the wrong name twice
Where can I find the magical crystals?,They are deep within the caves. Be prepared to face the monsters that guard them.
moon,Secunda and Masser watch over us all.
scout,"The first to see, and sometimes the last."
snow elves,Even the gods fear snow elves.
Vik,Your strength comes from the earth beneath you and the sky above you
sheogorath,Sheogorath holds truths best left buried.
Go away,Make me
mephala,Mephala... it echoes through history.
Where can I find the legendary staff?,It’s in the hidden chamber beneath the wizard’s tower. You’ll need a special key.
How do I shout,"Learn the words, take a deep breath, then yell really loud"
Babette,Use your youth as a mask and your blade as the truth
aldmeri dominion,None who enter aldmeri dominion return unchanged.
almalexia,Who writes the fate of almalexia?
sing,Not unless there’s coin in it.
Sabre Cat,"Beast of the wilds, or hunter of the hunter?"
mundus,"Gift to mortals, or cage of divines?"
Stop,"Nah, I’m having fun"
mirror,Reflection or revelation?
is there a war,there is always a war
scrap,"One man’s trash, another’s treasure."
solstheim,"A land of ash and mystery, far from Skyrim’s borders."
The Forsworn,"Children of the Reach, or rebels of rage?"
Sanguine,"Lord of revelry, or chain of indulgence?"
kiss,Make it worth my time.
Valerica,"Scholar of souls, or mother betrayed?"
Secunda,"Lesser twin, or silent guide?"
daedric,"The mightiest weapons, forged from the essence of Oblivion."
You ain't special,Yet you're still talking to me
The Void,"Home of Sithis, or abyss without end?"
Talos,"Man turned god, or lie born of war?"
falmer,Could you survive the trials of falmer?
Madanach,"King in rags, or prophet of vengeance?"
mephala,Even the gods fear mephala.
where do i find the black-briar meadery,"In Riften, under Maven Black-Briar’s rule."
The Pale,"Snowbound frontier, or land of quiet rage?"
Sven,"If you seek Winterhold, head north and cross the frozen lake, the city will soon appear on the cliffs"
what is power,influence strength and knowing when to use both
who is the best guide,"Knowledge is found in books, or from those who listen."
Apocrypha,"Pages of nightmare, or library divine?"
Is it true Skyrim’s got the best mead?,"Aye, but after enough of it, you won’t care whose mead you’re drinking."
quest,"A task, a burden, or an opportunity?"
Thirsk Mead Hall,Defend the hall or reclaim it by strength
soul gem,"Prison for power, or power from prison?"
Ever woken up somewhere you shouldn’t have?,"Let’s just say, waking up in a barn wasn’t the plan."
What’s the biggest scandal you’ve heard?,"Let’s just say, some of the richest folks have the dirtiest secrets."
How do I break through heavy armor?,"Heavy armor can be tough, but you can break through it with power attacks or magic that ignores armor. Focus on weakening their defenses first."
Cindiri Arano,Deliver the potion and return quickly
Brynn,"To find Morthal, head southwest, through the fog-covered marshes and into the swamp"
skald,"Voice of the people, or puppet of power?"
Where is the ghost village,"Along the coast where the fog never lifts, follow the lanterns that flicker at night"
What should I do with the cursed dagger?,Bring it to the priest. He’ll know how to purify it.
Skyrim,"Home of the Nords, or land of eternal conflict?"
gold,Everyone wants more of it.
Step up,You first
What do I do after finding the hidden shrine?,Offer a prayer to the gods and take the artifact. It will guide you.
empire,Who writes the fate of empire?
forsworn,Savage rebels of the Reach.
soul gem,"Some worship soul gem, others curse its name."
How do I defeat the frost warden?,"Use fire spells to break through its icy armor, then strike at its core."
make me forget my name,You won’t need it.
Where can I find the key to the locked door?,The key is with the captain of the guard. You’ll need to earn their trust.
Maven Black-Briar,"Queen of vice, or patron of order?"
Rurik,"Strength is forged in the heart, not just the body"
Skyrim's Forest,"Ancient woods, or dying land?"
leyawiin,Would you dare speak the name of leyawiin aloud?
Why do people say 'good vibes only',Because pretending bad vibes don’t exist makes them feel better
"Yo, hurry up","Patience ain’t your thing, huh?"
where can i find giants,"They roam the tundras, tending their mammoths."
Who was Mannimarco?,"Mannimarco was the King of Worms, a powerful necromancer who sought to become a god."
Shalidor,"Archmage eternal, or mad with truth?"
revenge,"Justice twisted, or clarity regained?"
Nightingale,"Thief of shadows, or follower of Nocturnal?"
aldmeri dominion,What did it cost to silence aldmeri dominion?
do you like the dark brotherhood,The Dark Brotherhood is a shadowy organization. Their deeds are not for the faint of heart.
talos,"Is talos a legend, or a warning?"
Tell me of the Tribunal.,"The Tribunal are the living gods of Morrowind—Vivec, Almalexia, and Sotha Sil. They guide us, protect us, and shape our future."
is it safe,Depends on your definition.
Sigrun,"To find Markarth, follow the river west, climb the stone steps and you’ll find the city"
You got a death wish,"Nah, but you might if you keep talking"
ormae,"Forgotten daedra, or memory misplaced?"
who runs windhelm,"Ulfric, unless something has changed."
what do you know,I know many things. What are you looking for?
Altmer,"High elves, or high walls?"
Poison Dart,"Hidden sting, or message in flight?"
Dwemer,"Pioneers of science, or vanished by arrogance?"
Aetherial Crown,"Heirloom of gods, or burden of choice?"
Akatosh,"Time unbound, or dragon of destiny?"
anvil,Would you dare speak the name of anvil aloud?
How do I deal with elemental damage?,"Elemental attacks can be nasty, but there’s always a way to mitigate them. Keep potions for resistances or use magic to defend against them."
vampire,"Is the night your freedom, or your hunger?"
Ever been with a bard?,Oh yes. They do have talented tongues.
sheogorath,Sheogorath does not forgive trespassers.
Bow,"Arc of death, or song of precision?"
where do the rich go to fuck,private parties invite only but coin talks
tiber septim,Could you survive the trials of tiber septim?
What is the Five Hundred Companions?,"The Five Hundred Companions were the warriors of Ysgramor, who conquered Skyrim."
House Redoran,"Pillars of honor, or wall of stubborn pride?"
stormcloak,Stormcloak was written in fire and shadow.
whats poppin,Just waiting to assist. What’s up?
Dwemer Lexicon,"Key of knowledge, or burden of thought?"
high rock,Could you survive the trials of high rock?
Olaf,"To find Windhelm, head north through the snowy tundra, past the icy plains, and you’ll see the city ahead"
Mephala,"Webspinner of secrets, or whisper of truths?"
Hermaeus Mora,Ink and eye shall guide you through Apocrypha
leyawiin,Leyawiin holds truths best left buried.
